province,kind,candidate_count,current_identity_verified,endpoint_verified,collection_enabled,last_success_count,status,denominator_status
北京,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
北京,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
北京,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
北京,technology_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
天津,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
天津,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
天津,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
天津,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
河北,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
河北,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
河北,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
河北,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
山西,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
山西,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
山西,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
山西,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
内蒙古,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
内蒙古,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
内蒙古,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
内蒙古,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
辽宁,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
辽宁,property_exchange,2,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
辽宁,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
辽宁,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
吉林,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
吉林,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
吉林,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
吉林,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
黑龙江,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
黑龙江,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
黑龙江,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
黑龙江,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
上海,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
上海,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
上海,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
上海,technology_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
江苏,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
江苏,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
江苏,data_exchange,4,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
江苏,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
浙江,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
浙江,property_exchange,2,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
浙江,data_exchange,3,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
浙江,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
安徽,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
安徽,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
安徽,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
安徽,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
福建,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
